Alteration_Year,BBL,BIN,borough,Comfort Station,CNSTRCT_YR,DESCRIPTION,DOITT_ID,DOITT_Source,Demolition_Year,GISPROPNUM,GROUNDELEV,HEIGHTROOF,LOCATION,MaintBy,MaintBySpec,OMPPROPID,Parks_District,SYSTEM,multipolygon,Recreation_Center,FeatureStatus
,5001860119,5106627,R,FALSE,1971,Lawrence C Thompson Mem Park-Building,612238,current,,R109,23,11.71,Henderson Av & Chappell St,,,R109,R-01,R109-BLG1295,"MULTIPOLYGON (((-74.11908733385766 40.63696481651265, -74.11917255926267 40.63695528446742, -74.11916632144664 40.63692291905132, -74.11933746230889 40.63690377661957, -74.11934412735734 40.63693835596093, -74.11942870975827 40.63692889553419, -74.11941629116589 40.63686446454274, -74.119331100186 40.63687399313102, -74.11932464036491 40.63684047258684, -74.11915497108 40.636859450480834, -74.11916126377241 40.63689210220616, -74.11907517450554 40.63690173149333, -74.11908733385766 40.63696481651265)))",FALSE,Active
,1000030001,1088313,MN,FALSE,1951,The Battery-DIST HQ,415876,current,,M005,11,11,Peter Minuit Pl & South St,,,M005-02,M-01,M005-02-BLG0635,"MULTIPOLYGON (((-74.01467460027922 40.70181123915698, -74.01473494101519 40.7018048540229, -74.01473191059945 40.7017882678823, -74.01473682569893 40.70178774765774, -74.01475430660345 40.70178589756786, -74.01473783715478 40.7016957548349, -74.01471135315754 40.70169855701396, -74.0147085123 40.70168300463594, -74.01470275120629 40.70168361411806, -74.01469955651478 40.701683952218055, -74.01464996069933 40.70168920042107, -74.01465280272672 40.70170475280037, -74.01463145862847 40.70170701129791, -74.0146341146581 40.70172154162024, -74.01464793266908 40.701797154045366, -74.01467156987816 40.701794653014794, -74.01467460027922 40.70181123915698)))",FALSE,Active
,1017550001,1054276,MN,FALSE,1949,P.S. 133 / Moore Playground Public Restroom,641683,current,,M204,23,51.79,Madison Ave. between E. 130 St. and E. 131 St.,,,M204,M-11,M204-BLG9988,"MULTIPOLYGON (((-73.93939049178199 40.81001533767282, -73.93948066344444 40.80989134415199, -73.93949622116742 40.809897876425396, -73.93952596938102 40.80985697070486, -73.93951450367912 40.80985215783196, -73.93969561945495 40.8096031074333, -73.93953832620153 40.809537070775654, -73.93950764570712 40.80952419016709, -73.93945791683285 40.8095925712946, -73.93945680375577 40.80959410155668, -73.93945553404028 40.80959584785598, -73.9394176514042 40.80964793977435, -73.93941678633473 40.809649129778094, -73.93941608621154 40.80965009114203, -73.93940408085234 40.80966660086623, -73.93936753905616 40.809716847451405, -73.93900745065694 40.8095656683122, -73.93906514600624 40.80948633342904, -73.93907725372364 40.80949141683565, -73.93909779949624 40.809463165560736, -73.93908722716357 40.80945872682357, -73.93915022785157 40.80937209706347, -73.93896535340323 40.80929447996389, -73.93880759404327 40.809511409157565, -73.93878015598006 40.809549138064455, -73.93876317676074 40.80954200880928, -73.93874263200608 40.80957026092529, -73.93875915748893 40.80957719813642, -73.93866272759277 40.80970979382953, -73.93889735601431 40.80980830052588, -73.93939049178199 40.81001533767282)))",FALSE,Active
,4000060001,4542932,QN,FALSE,2013,Hunter's Point South Park Pavilion,1268580,current,,Q471,8,21.68777146,Center Blvd. & Borden Ave.,,,Q471,Q-02,Q471-BLG0001,"MULTIPOLYGON (((-73.96040448349862 40.74197431043641, -73.96039391307399 40.741984283519805, -73.96038392376934 40.74199459719382, -73.96037453453894 40.74200523345497, -73.96036576197125 40.7420161706969, -73.96035762383771 40.74202738911474, -73.96035013554294 40.74203886710173, -73.96034331012358 40.742050583050386, -73.9603371629844 40.74206251535387, -73.96033665083444 40.742063653418434, -73.96033170242782 40.74207463970149, -73.96032694149068 40.7420869344857, -73.96032288847563 40.742099375395696, -73.96031955168411 40.74211193992174, -73.9603991662275 40.742062117053756, -73.9604118139 40.7420531874712, -73.96042494438335 40.742044666883366, -73.96043853754158 40.74203656969123, -73.96045256968759 40.74202890939419, -73.9604670135813 40.74202170129135, -73.96048184553652 40.74201495708099, -73.9604970394995 40.7420086884606, -73.96051256941674 40.74200290622725, -73.96052840805103 40.741997621177454, -73.96054452579827 40.741992842306146, -73.9605608966067 40.741988577708746, -73.96057749087346 40.7419848345791, -73.96059428017945 40.74198162011146, -73.96061123373885 40.74197893969824, -73.96062832313379 40.74197679873275, -73.96064551876455 40.74197519900574, -73.96066278866135 40.741974145909374, -73.96068010440953 40.74197363943383, -73.96069743522602 40.74197368046916, -73.96071474914366 40.74197426990491, -73.96073201893232 40.74197540683135, -73.96074921144363 40.7419770876351, -73.96076629826338 40.74197931140611, -73.96078324979614 40.741982072731176, -73.96078615731219 40.74198257530362, -73.96082154708965 40.74198869278594, -73.96085970318819 40.741995842278065, -73.96089770388713 40.74200351760096, -73.96093553498143 40.74201171604845, -73.96097318345036 40.74202043401413, -73.96101063627171 40.742029670593354, -73.96101593843152 40.74203105826858, -73.96103338264446 40.74203562524027, -73.96104787805844 40.742039419477514, -73.96105935709286 40.74204260124877, -73.96108489697215 40.74204967976235, -73.96112167880926 40.74206044604019, -73.9611582105484 40.7420717156054, -73.96119447916928 40.74208348395121, -73.96123047165166 40.74209574657106, -73.96126617615907 40.7421084989586, -73.96124779618182 40.74196416220307, -73.96124754514395 40.74196219180911, -73.96117083977065 40.74194394061085, -73.96109397317446 40.74192611074435, -73.96104633922629 40.74191534528996, -73.96102236717988 40.741909926932884, -73.9610169548248 40.741908704013426, -73.96100152269446 40.74190530837969, -73.96100148718037 40.74190530026309, -73.96093979182302 40.741891722221254, -73.96089220139417 40.741881530340834, -73.96086249127043 40.741875167170924, -73.96084317068559 40.74187235642458, -73.96082372191488 40.74187008953775, -73.96080417100174 40.74186837192216, -73.96078454517624 40.74186720448761, -73.96076487048455 40.74186658814339, -73.96074517415566 40.74186652560029, -73.9607254846046 40.74186701596753, -73.96070582669465 40.741868058353006, -73.96068622884086 40.74186965186601, -73.96068232743833 40.741870080076076, -73.96066671827488 40.74187179471479, -73.96064731986205 40.74187448240539, -73.96062806201863 40.74187771224608, -73.96060897079334 40.74188148064378, -73.96059819293302 40.7418839326398, -73.96059007105328 40.74188578040297, -73.96057139121515 40.74189060793156, -73.96055295377916 40.7418959542322, -73.96053478716318 40.7419018139117, -73.9605169150514 40.741908177973315, -73.96049936112817 40.74191503742019, -73.96048215026107 40.74192238415641, -73.96046530613603 40.7419302064837, -73.96045215468074 40.74193820207342, -73.96044412543768 40.74194353572107, -73.96043947181602 40.74194662736451, -73.96042728478369 40.74195546435627, -73.96041561371955 40.74196469864773, -73.96040561950105 40.7419733301747, -73.96040448349862 40.74197431043641)))",FALSE,Active
,1011110001,1088628,MN,FALSE,1900,The Ramble Shed,386557,current,,M010,105,14,"The Ramble Shed, Mid-Park south of 79th St Tranverse",,,M010-ZN18&19,M-13,M010-ZN18+19-BLG0720,"MULTIPOLYGON (((-73.96763585864977 40.77843977085584, -73.96767078122622 40.77846364757016, -73.96774073540317 40.77851147393798, -73.96774904270542 40.778517153029355, -73.96775547659755 40.77851171489586, -73.96779299674995 40.77848000339628, -73.96783882082508 40.77844127208574, -73.9678591226736 40.77842411237629, -73.96785154130048 40.77841892877156, -73.96779614354753 40.77838105438763, -73.96777331862971 40.77840034576983, -73.9677708477071 40.77840243424398, -73.96773594644242 40.7783785728743, -73.96768079628987 40.7783408677984, -73.96770188268079 40.77832304556675, -73.96763673308692 40.77827850375468, -73.96760021556406 40.7783093690141, -73.96756533462663 40.77833884975003, -73.96753086251626 40.778367986598546, -73.96754025097063 40.77837440532208, -73.96763585864977 40.77843977085584)))",FALSE,Active
1934,1011110001,1085773,MN,FALSE,1870,Tavern on the Green,996078,current,,M010,83,34.86,West Side between 66th and 67th Streets,,,M010-ZN09,M-13,M010-ZN09-BLG0714,"MULTIPOLYGON (((-73.97789947456137 40.772097344797665, -73.97787818595069 40.772092669802944, -73.97777033704654 40.77206898742761, -73.97777042121977 40.77206876592008, -73.97776214062992 40.77205743329198, -73.97775276014802 40.77204459571026, -73.9776679713151 40.7719285629925, -73.97766729383396 40.771928414278165, -73.97745632374824 40.771882087335, -73.97743147103233 40.771947502219, -73.97760113979965 40.771984759423205, -73.97760010956053 40.77198747153823, -73.97760791378109 40.77199929666068, -73.97766974504233 40.77209298439381, -73.97768387366422 40.772114392989664, -73.97764605424256 40.772106088423335, -73.9776012950826 40.77222389614922, -73.97765736873812 40.77223620880823, -73.97762499023682 40.772243813577035, -73.97747644316804 40.77230351680363, -73.97736013972767 40.77227797825636, -73.97721957015186 40.77224711012194, -73.97719675150526 40.77230717096285, -73.97719464474751 40.77231271494313, -73.97719364768368 40.77231533701068, -73.9774290759315 40.77236703442236, -73.97747888648983 40.77237797177324, -73.97751179018745 40.77236924241981, -73.97751531371526 40.772373839274934, -73.9775165889777 40.77237516326325, -73.9775194497342 40.77237813187944, -73.97752415324908 40.77238207339831, -73.97752937097215 40.772385619696415, -73.97753504724483 40.77238873204125, -73.9775411204841 40.77239137710209, -73.97754752436752 40.77239352604986, -73.97755418783298 40.7723951545571, -73.97756103744686 40.77239624549987, -73.97756800095857 40.77239678625708, -73.97757500019233 40.77239677231095, -73.97758195934027 40.77239620184574, -73.9775888014069 40.77239508295095, -73.97759545294882 40.7723934273189, -73.97760184052105 40.77239125204489, -73.97760789541374 40.77238858232975, -73.9776135501008 40.77238544607597, -73.9776187429762 40.77238187839122, -73.97762341717078 40.7723779179862, -73.97762752173637 40.77237360807519, -73.97763101283043 40.77236899637641, -73.97763352423648 40.77236469426045, -73.97763385134785 40.77236413241005, -73.9776360064735 40.77235907020024, -73.97763745449933 40.77235386377274, -73.97763818000736 40.772348571657176, -73.9776381746871 40.772343250583646, -73.97763743851911 40.772337959084915, -73.97763597977574 40.77233275479468, -73.97763381383636 40.772327695348196, -73.9776309655574 40.77232283478036, -73.97767392912819 40.77230719507169, -73.977750672091 40.77232404662155, -73.97774932531247 40.77232759164197, -73.97783154031812 40.77234564456501, -73.97783867642244 40.77234721191251, -73.97784773750574 40.77232336473234, -73.97785639202857 40.77232526555684, -73.97793963559197 40.77210616301586, -73.97789947456137 40.772097344797665)))",FALSE,Active
,4008980001,4532003,QN,FALSE,1939,Astoria Park Field House,734455,current,,Q004,33,15.8,Near the track and tennis courts at Astoria Park South and 18th Street,,,Q004-ZN01,Q-01,Q066A-BLG0630,"MULTIPOLYGON (((-73.92507533829281 40.77602066662408, -73.92507251167865 40.77602192819161, -73.92508031135623 40.77603202880038, -73.92509298548971 40.776026373777746, -73.92508924060292 40.77602152393645, -73.92512277003983 40.776006562262204, -73.92512685795451 40.77601185537269, -73.92514070183587 40.77600567791272, -73.92512581572673 40.77598640018157, -73.92527887213542 40.77591810003816, -73.92528659376295 40.77592810062671, -73.92529449400358 40.77593833185921, -73.92530807237809 40.775932273073295, -73.92530374552014 40.775926669140844, -73.92533653413727 40.775912037408524, -73.92534043990361 40.77591709536224, -73.92535372553667 40.77591116605365, -73.92534584303236 40.77590095824974, -73.92534469224329 40.77590147169131, -73.92528063042955 40.775818509163905, -73.92527003748924 40.77582323533759, -73.92527374216051 40.77582803381841, -73.92524664588737 40.77584012530538, -73.92524040839854 40.77584290831508, -73.92523710944384 40.77583863599014, -73.9252243547675 40.77584432699661, -73.92522765372165 40.77584859932193, -73.92507319063394 40.77591752703429, -73.9250692423054 40.775912414113144, -73.925056875148 40.77591793245648, -73.92506082347496 40.77592304627855, -73.92502467604363 40.775939175984774, -73.92501852408405 40.77593120883503, -73.92500940426252 40.775935278576185, -73.92507533829281 40.77602066662408)))",FALSE,Active
,1011110001,1083840,MN,FALSE,1932,North Meadow Recreation Center,605002,current,,M010,92,19,Mid-park at 97th Street,,,M010_temp3,M-13,M010-ZN36-BLG0730,"MULTIPOLYGON (((-73.9591552971665 40.791193511366366, -73.95915623904983 40.79119361345672, -73.95996844925459 40.79128155493991, -73.96000301232046 40.7912852977129, -73.96001278895339 40.79123313601192, -73.9600392267889 40.79109208898026, -73.9600553269253 40.791006195816045, -73.96004626708604 40.7910052147322, -73.96000519984604 40.79100076822521, -73.95995636297505 40.79099548063847, -73.95993345806933 40.790993000804335, -73.9599099524593 40.791118407139955, -73.95989864120868 40.791178752047905, -73.95929767696349 40.791113683737436, -73.95932748863082 40.790954646056456, -73.95933249546684 40.79092793267352, -73.95930067296086 40.79092448693164, -73.95920761525248 40.790914410750794, -73.95919974593403 40.79095638930085, -73.9591552971665 40.791193511366366)))",FALSE,Active
,1011110001,1087579,MN,FALSE,1900,Kerbs Boathouse (Model Boat Pond),186368,current,,M010,52,20.16,"Conservatory Water, East Side at 74th Street.",,,M010-ZN16,M-13,M010-ZN16-BLG0702,"MULTIPOLYGON (((-73.96643150540875 40.7740593062803, -73.96646957669554 40.774074971706604, -73.96650270833346 40.774088605951, -73.96653943701595 40.77403702231198, -73.96655078012272 40.774041689309605, -73.96655156175255 40.77404201101601, -73.96662641055295 40.77393688730437, -73.9666166934844 40.77393288805783, -73.96665137131424 40.773884184496495, -73.96664062629195 40.77387976261857, -73.9665828272616 40.77385597889828, -73.96657820263047 40.77385407569494, -73.9665435247624 40.773902780135, -73.96653216154732 40.773898104125685, -73.96645731145676 40.77400322867691, -73.96646823294573 40.77400772266339, -73.96643150540875 40.7740593062803)))",FALSE,Active
,1011110001,1083811,MN,FALSE,1851,The Arsenal,159673,current,,M010,45,77,830 5th Avenue,,,M010-ZN01,M-13,M010-ZN01-BLG0707,"MULTIPOLYGON (((-73.97117542901643 40.76787669258329, -73.97117991756738 40.76789406532227, -73.97120071736586 40.76790468656092, -73.97122530402592 40.767901015047, -73.97123927520467 40.76788520118861, -73.97123444491089 40.76786650822827, -73.97132871758535 40.76773504558325, -73.9713570816386 40.76772781348905, -73.9713688068067 40.767709902683585, -73.97136040561642 40.767690856743634, -73.97139886068898 40.76763723049533, -73.97140384521103 40.76763609169493, -73.97142463260931 40.76763134129244, -73.9714367399679 40.76761422661988, -73.97142914188152 40.767595003484544, -73.97152352518975 40.76746338311428, -73.97154757447929 40.76745845969842, -73.97156000008178 40.767442049285016, -73.97155456543275 40.767426705161, -73.97155352440367 40.7674237647593, -73.97153194011484 40.767414317646626, -73.97151223920667 40.7674183515363, -73.97143734421869 40.76738730613775, -73.97143002423256 40.767368695413296, -73.97140753854498 40.76735947047807, -73.97138305906239 40.76736503671756, -73.97137092687076 40.76738213246838, -73.97137174097327 40.76740046602606, -73.97127363496318 40.76753727584848, -73.97125850839858 40.76754089750395, -73.97124756222988 40.76755686880806, -73.97125196367419 40.76756749585005, -73.9712065754972 40.76763078992612, -73.97118602520214 40.76763499734488, -73.97117359947156 40.76765140771749, -73.97117961370836 40.76766838821919, -73.97108266004881 40.76780359076294, -73.97105969083877 40.76780840809337, -73.97104831193016 40.767825148299366, -73.97105596041713 40.76784267222146, -73.97107785288581 40.767851753895584, -73.97110146801104 40.76784603441884, -73.97117542901643 40.76787669258329)))",FALSE,Active
